##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
# IDL save file: http://aia.cfa.harvard.edu/filament/catalog_table.sav
###
# Column Headers:
#  ID = Catalog ID number
# Start = Start time (UT)
# _End = End time (UT)
# X = X coordinate (arcsec)
# Y = Y coordinate (arcsec)
# Rating = Arbitrary interest rating from 1 to 5. -1 indicates a duplicate event.
# Type = Active Region (AR), Intermediate (IP), Quescient (QS), or Polar Crown (PC)
# Eruption = Full (F), Partial (P), or Confined (C)
# Symmetry = Symmetric (S) or Asymmetric (A)
# Direction = Radial (R), Non-radial (NR), or Sideways (S)
# Twist = Yes (Y) or No (N) for apparent twist motions
# Writhe = Yes (Y) or No (N) for apparent writhing motions
# Threads = Yes (Y) or No (N) for vertical threads
# Cavity = Yes (Y), No (N), or During (D) for presence of a coronal cavity
# Flare = Flares within movie FOV. "?" indicates flares without location info.
# CME = Yes (Y), No (N), or a CME speed number
# Box = [x1,x2,y1,y2] HEK box coordinates (arcsec)
# AIA_FOV = [x1,x2,y1,y2] Catalog movie box coordinates (pixels)
# HEK_Link = IVO ID link for the HEK event
# Cat_Link = URL for catalog entry
##########################################################################################
ID	START	_END	X	Y	RATING	TYPE	ERUPTION	SYMMETRY	DIRECTION	TWIST	WRITHE	THREADS	CAVITY	FLARE	CME	BOX	AIA_FOV	HEK_LINK	CAT_LINK
0027	2010-06-10T19:47:53	2010-06-11T03:49:12	44	883	0.0	-	-	-	-	-	-	-	-	N	-	[-63,152,975,791]	[1483,2762,3160,3879]	ivo://helio-informatics.org/FE171_RalphSeguin_20100611_193307	http://aia.cfa.harvard.edu/filament/index.html?search=0027
0028	2010-06-11T14:37:56	2010-06-11T16:59:11	916	-555	0.0	-	-	-	-	-	-	-	-	N	-	[780,1052,-338,-773]	[2176,4095,583,1662]	ivo://helio-informatics.org/FE171_RalphSeguin_20100611_191614	http://aia.cfa.harvard.edu/filament/index.html?search=0028
0029	2010-06-11T22:00:18	2010-06-12T11:57:00	-574	878	0.0	-	-	-	-	-	-	-	-	N	-	[-800,-347,651,1105]	[133,2052,2972,4051]	ivo://helio-informatics.org/FE171_NariakiNitta_20100712_201445	http://aia.cfa.harvard.edu/filament/index.html?search=0029
0030	2010-06-13T01:00:05	2010-06-13T12:24:43	610	885	1.5	PC	P	A	R	N	N	Y	Y	N	0351	[178,1042,1127,644]	[2105,4024,2984,4063]	ivo://helio-informatics.org/FE304_TomBerger_20100614_174154	http://aia.cfa.harvard.edu/filament/index.html?search=0030
0031	2010-06-15T00:00:00	2010-06-15T23:59:36	-737	767	1.5	QS	P	A	R	Y	N	Y	Y	N	0432	[-435,-1039,568,965]	[180,1459,2966,3685]	ivo://helio-informatics.org/FE304_TomBerger_20100618_162726	http://aia.cfa.harvard.edu/filament/index.html?search=0031
0032	2010-06-16T13:45:00	2010-06-16T23:52:32	-1039	418	1.5	QS	F	A	R	Y	N	Y	N	N	0141	[-733,-1345,221,615]	[0,1279,2385,3104]	ivo://helio-informatics.org/FE171_MarkCheung_20100617_180835	http://aia.cfa.harvard.edu/filament/index.html?search=0032
0033	2010-06-19T19:47:31	2010-06-19T23:10:24	-939	-407	1.5	QS	F	S	R	Y?	N	Y?	N	N	0499	[-749,-1128,-139,-675]	[0,1919,830,1909]	ivo://helio-informatics.org/FE304_KarelSchrijver_20100622_153543	http://aia.cfa.harvard.edu/filament/index.html?search=0033
0034	2010-06-21T08:58:54	2010-06-21T09:48:29	-1005	278	1.3	AR?	C?	A?	R	N	N	N	N	N	N	[-850,-1160,341,215]	[0,1279,2152,2871]	ivo://helio-informatics.org/FE304_KarelSchrijver_20100622_155938	http://aia.cfa.harvard.edu/filament/index.html?search=0034
0035	2010-06-22T07:39:40	2010-06-22T11:55:02	388	399	3.6	AR	C	A	NR	Y	N	N	N	B1.0|B2.1	N	[266,510,498,300]	[2055,3334,2354,3073]	ivo://helio-informatics.org/FE304_RalphSeguin_20100623_195635	http://aia.cfa.harvard.edu/filament/index.html?search=0035
0036	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	ivo://helio-informatics.org/FE211_KarelSchrijver_20100628_012631	-
0037	2010-06-22T20:37:58	2010-06-23T23:46:51	-374	746	0.0	-	-	-	-	-	-	-	-	N	-	[-598,-151,941,551]	[784,2063,2932,3651]	ivo://helio-informatics.org/FE304_RalphSeguin_20100625_001242	http://aia.cfa.harvard.edu/filament/index.html?search=0037
0038	2010-06-23T08:49:00	2010-06-23T18:31:12	-377	709	0.0	-	-	-	-	-	-	-	-	2?	-	[-631,-123,978,441]	[460,2379,2691,3770]	ivo://helio-informatics.org/FE171_KarelSchrijver_20100628_014019	http://aia.cfa.harvard.edu/filament/index.html?search=0038
0039	2010-06-23T13:48:25	2010-06-23T17:14:41	614	428	0.0	-	-	-	-	-	-	-	-	N	-	[482,746,334,522]	[2432,3711,2402,3121]	ivo://helio-informatics.org/FE304_KarelSchrijver_20100628_014439	http://aia.cfa.harvard.edu/filament/index.html?search=0039
0040	2010-06-25T09:54:49	2010-06-25T13:59:11	731	490	2.0	AR?	P?	S?	R	N	N	N	D?	B3.4	N	[675,786,550,429]	[2626,3905,2504,3223]	ivo://helio-informatics.org/FE193_RalphSeguin_20100625_181748	http://aia.cfa.harvard.edu/filament/index.html?search=0040
0041	2010-06-27T01:06:44	2010-06-27T04:26:53	-862	-440	1.5	AR	C	A?	S	N	N	N	N	B1.5	N	[-1035,-689,-196,-684]	[0,1919,775,1854]	ivo://helio-informatics.org/FE211_AlbertoSainzDalda_20100630_215741	http://aia.cfa.harvard.edu/filament/index.html?search=0041
0042	2010-06-29T00:45:05	2010-06-29T03:42:03	762	740	1.0	QS?	P	S	R	Y	N	N	N	N	0178	[604,921,917,563]	[2679,3958,2922,3641]	ivo://helio-informatics.org/FE304_TomBerger_20100629_211611	http://aia.cfa.harvard.edu/filament/index.html?search=0042
0043	2010-06-29T03:51:42	2010-06-29T09:48:53	-617	850	1.5	PC	P	A	R	Y	N	N	Y?	N	0181	[-958,-276,1055,646]	[380,1659,3106,3825]	ivo://helio-informatics.org/FE304_TomBerger_20100629_211204	http://aia.cfa.harvard.edu/filament/index.html?search=0043
0044	2010-06-29T14:31:39	2010-06-29T18:05:31	300	231	2.0	AR	C	S?	R	Y?	?	N	N	B1.3	N	[179,420,347,115]	[1908,3187,2074,2793]	ivo://helio-informatics.org/FE193_RalphSeguin_20100629_224157	http://aia.cfa.harvard.edu/filament/index.html?search=0044
0045	2010-07-02T14:09:58	2010-07-03T12:46:58	860	-533	5.0	QS	P	?	R	Y	N	Y	Y	N	0411	[594,1126,-242,-824]	[2176,4095,620,1699]	ivo://helio-informatics.org/FE211_JuanMartinezSykora_20100707_000811	http://aia.cfa.harvard.edu/filament/index.html?search=0045
0046	2010-07-03T03:55:45	2010-07-03T14:09:04	-808	458	5.0	QS	F	A	R	Y	N	Y	N	N	0313	[-559,-1058,704,212]	[61,1340,2452,3171]	ivo://helio-informatics.org/FE304_JuanMartinezSykora_20100707_001843	http://aia.cfa.harvard.edu/filament/index.html?search=0046
0047	2010-07-03T07:33:04	2010-07-03T13:49:45	907	247	2.0	QS	C	?	R	Y	Y?	N	D	N	N	[752,1063,373,121]	[2816,4095,2100,2819]	ivo://helio-informatics.org/FE304_JuanMartinezSykora_20100707_001148	http://aia.cfa.harvard.edu/filament/index.html?search=0047
0048	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	ivo://helio-informatics.org/FE211_JuanMartinezSykora_20100707_004639	-
0049	2010-07-03T22:50:16	2010-07-04T02:09:14	953	232	1.5	QS?	C	A?	R	Y?	Y?	Y	Y?	N	N	[770,1136,367,97]	[2816,4095,2075,2794]	ivo://helio-informatics.org/FE304_JuanMartinezSykora_20100707_221348	http://aia.cfa.harvard.edu/filament/index.html?search=0049
